,Presence of Investment Promotion Unit,Land Use Plan,Population,Local Economy Growth,Availability of Basic Utilities,Budget for DRRMP,Capacity of School Services,Transportation Vehicles,Education,Poverty_Incidents,Cluster_Id
Aloran,0.7996400000000001,0.9885600000000001,0.04165962603922687,0.002567103325908867,0.8079200000000001,0.007124497859910439,0.10804417099932007,0.023415748964438432,0.07571549724341597,0.27150271605881715,2
Altavas,0.25,0.9794800000000001,0.0376658283113863,0.0028691154818981457,0.47720000000000007,0.004932344672245689,0.06090725325942063,0.022947433985149663,0.08324443036518155,0.158275223047972,1
Alubijid,1.0,0.9794800000000001,0.05564922949635557,0.002416097247914228,0.6200000000000001,0.003288229781497126,0.05931836839178356,0.06345667969362814,0.11151344340728245,0.16222353832731534,2
Amadeo,1.0,0.96,0.06596523513062089,0.0019630790139303104,0.895,0.006576459562994252,0.13717372690599952,0.09038479100273235,0.0877902013066249,0.03192913410898625,2
Amai Manabilang,1.0,0.94284,0.011148403572024793,0.0,0.5,0.006850478711452346,0.052433200632022975,0.009600457075419759,0.007813043805605775,0.9367301581236586,2
Ambaguio,1.0,0.90768,0.01958671519829884,0.0,0.7659600000000001,0.01068674678986566,0.04749000326604101,0.0014049449378663059,0.033240950009304576,0.6528335530379739,2
Amlan,0.25,0.9948800000000001,0.034159291308511024,0.024009966401147644,0.75,0.007124497859910439,0.03778015129714787,0.015454394316529365,0.024859684836018383,0.13382114131784575,1
Ampatuan,1.0,0.96,0.04341202443222707,0.03971459851259013,0.6075200000000001,0.006850478711452346,0.08756521048310907,0.02716226879874858,0.054975417323080644,0.7221201179399983,2
Amulung,0.0,0.78788,0.07633518748800737,0.005134206651817734,0.8971600000000001,0.05891411691849017,0.0031777697352741194,0.020371701599061435,0.026990514964819953,0.1689738838049023,1
Anahawan,0.0,0.4,0.0077166958947691875,0.0027181094039035064,0.5,0.009590670196033284,0.07114673351752612,0.0009366299585775374,0.15739731884747638,0.27303109616695004,1
Anao,0.75,0.9384800000000001,0.014292975464925844,0.00407716410585526,0.93752,0.010412727641407566,0.046254203924545524,0.0077271971582646825,0.022160633339536384,0.038424749568551034,2
Anda (BL),0.0,0.9846,0.021695858050648633,0.005436218807807013,0.9500000000000001,0.008494593602200909,0.12357993414954911,0.021308331557638973,0.16109075773739912,0.13000019104751354,1
Anda (PS),0.0,0.97144,0.06179393528154296,0.001661066857941032,0.6426400000000001,0.006850478711452346,0.21803031239241877,0.046129025459943705,0.18055233958045347,0.2955747027619102,1
Angadanan,1.0,0.96412,0.09165779707129112,0.0019630790139303104,0.65,0.006302440414536158,0.08297509864326869,0.025757323860882274,0.12529281157353264,0.15432690776862873,2
Angat,0.78976,0.9897600000000001,0.10723621853518167,0.014496583487485367,0.03852,0.06001019351232255,0.03213078287888277,0.03418699348808011,0.08239209831366091,0.030782849027886573,2
Angeles,1.0,0.8615200000000001,0.7986435253090666,0.7369096606138396,0.9696,0.23017608470479883,0.5850627168165795,0.2599148135052666,0.4277286345214362,0.0,0
Angono,1.0,0.9545600000000001,0.1901853960930243,0.00604024311978557,0.99996,0.07699938071672437,0.135937927564504,0.9999999999999999,0.26734815349363766,0.02390513854128856,2
Anilao,1.0,0.9179600000000001,0.04615982687765638,0.0028691154818981457,0.8075200000000001,0.006028421266078065,0.05737639799800494,0.013112819420085521,0.032956839325464365,0.26003986524782047,2
Anini-Y,0.25,0.9371600000000001,0.031364503007460055,0.003020121559892785,0.71252,0.006576459562994252,0.10115900323955947,0.013815291889018675,0.08068743421061966,0.21100433677855684,1
Antequera,1.0,0.9897600000000001,0.018151036276526086,0.0019630790139303104,0.84292,0.006302440414536158,0.07520721706815417,0.006556409710042761,0.04915114830435634,0.1707569939310573,2
Antipas,1.0,0.9743600000000001,0.03708285565830281,0.003926158027860621,0.9824,0.050967561613205446,0.11969599336199184,0.017093496744040055,0.1666309160722832,0.33633150564545405,2
Antipolo,1.0,0.96364,1.0,0.11340556457397408,0.97492,0.43596446519682724,1.0,0.6404207341773912,1.0,0.040589954721739305,0
Apalit,1.0,0.96364,0.19693221691691878,0.004228170183849899,0.9674,0.0578180403246578,0.14494160848111404,0.1416652812348525,0.15143099448683195,0.03192913410898625,2
Aparri,1.0,0.96364,0.10729190547517771,0.003926158027860621,0.75004,0.05891411691849017,0.0,0.14588011604845144,0.19333732035326295,0.14120831184048804,2
Araceli,0.25,0.7838,0.0189933012439661,0.001208048623957114,0.14504,0.0,0.04060483550628042,0.0018732599171550747,0.03139423056434321,0.21635366715702195,1
Arakan,1.0,0.77436,0.07697558729796175,0.005134206651817734,0.96504,0.05891411691849017,0.04060483550628042,0.04308497809456671,0.18183083765773445,0.5082742678104044,2
Arayat,1.0,0.97272,0.245162327604109,0.00407716410585526,0.9374800000000001,0.0578180403246578,0.2118513156849413,0.06696904203829392,0.12742364170233422,0.05358118564086889,2
Argao,1.0,0.99092,0.12911074465237385,0.00407716410585526,0.9624000000000001,0.033156316963429355,0.15712305913299812,0.10373176791246225,0.21365123424783797,0.17457794420138956,2
Aringay,1.0,0.99092,0.08072053401269505,0.0055872248858016525,0.78396,0.05891411691849017,0.04749000326604101,0.06369083718327254,0.08850047801622543,0.027980818829642932,2
Aritao,1.0,0.94872,0.057827981023700396,0.004983200573823095,0.93684,0.05891411691849017,0.07114673351752612,0.052451277680342086,0.03338300535122468,0.17368638913831203,2
Aroroy,0.25,0.9230800000000001,0.14299941553075973,0.003322133715882064,0.95072,0.044117082901753105,0.09798123350428535,0.05151464772176455,0.15313565858987324,0.4466296034490444,1
Arteche,0.0,0.8,0.020937123493202668,0.001208048623957114,0.52668,0.006850478711452346,0.15129714795166224,0.01990338661977267,0.024433518810258063,0.7191907227327435,1
Asingan,1.0,0.96364,0.09285854671495561,0.004681188417833816,0.84284,0.049597465870914986,0.1302885591462389,0.026693953819459812,0.12642925430889346,0.10478191926332078,2
Asipulo,1.0,0.97692,0.019605857583922477,0.0028691154818981457,0.64452,0.013974976571362787,0.05737639799800494,0.0018732599171550747,0.11733771242600677,0.3801450687452636,2
